player_id,player_name,role,team,nationality,last_updated
P108,Rahul Malhotra,Batsman,Gujarat Titans,South Africa,18-04-2026
P109,Nikhil Bhosale,Bowler,Lucknow Super Giants,India,19-04-2026
P110,Siddharth Iyer,All-rounder,Mumbai Indians,India,20-04-2026
P111,Aarav Sharma,Wicketkeeper,Chennai Super Kings,Sri Lanka,21-04-2026
P112,Vivaan Patel,Batsman,Royal Challengers Bengaluru,India,22-04-2026
P113,Arjun Reddy,Bowler,Kolkata Knight Riders,India,23-04-2026
P114,Aditya Nair,All-rounder,Sunrisers Hyderabad,West Indies,24-04-2026
P115,Krishna Joshi,Wicketkeeper,Delhi Capitals,India,25-04-2026
P116,Manav Verma,Batsman,Punjab Kings,India,26-04-2026
P117,Karan Singh,Bowler,Rajasthan Royals,Afghanistan,27-04-2026
P118,Neel Kulkarni,All-rounder,Gujarat Titans,India,28-04-2026
P119,Harsh Menon,Wicketkeeper,Lucknow Super Giants,India,29-04-2026
P120,Akash Pillai,Batsman,Mumbai Indians,India,30-04-2026
P121,Dev Shetty,Bowler,Chennai Super Kings,India,01-05-2026
P122,Pranav Bose,All-rounder,Royal Challengers Bengaluru,India,02-05-2026
P123,Vihaan Deshmukh,Wicketkeeper,Kolkata Knight Riders,Australia,03-05-2026
P124,Aryan Rao,Batsman,Sunrisers Hyderabad,India,04-05-2026
P125,Rohan Gill,Bowler,Delhi Capitals,India,05-05-2026
P126,Yash Kumar,All-rounder,Punjab Kings,England,06-05-2026
P127,Ishaan Naidu,Wicketkeeper,Rajasthan Royals,India,07-05-2026
P128,Rahul Malhotra,Batsman,Gujarat Titans,India,08-05-2026
P129,Nikhil Bhosale,Bowler,Lucknow Super Giants,New Zealand,09-05-2026
P130,Siddharth Iyer,All-rounder,Mumbai Indians,India,10-05-2026
P131,Aarav Sharma,Wicketkeeper,Chennai Super Kings,India,11-05-2026
P132,Vivaan Patel,Batsman,Royal Challengers Bengaluru,South Africa,12-05-2026
P133,Arjun Reddy,Bowler,Kolkata Knight Riders,India,13-05-2026
P134,Aditya Nair,All-rounder,Sunrisers Hyderabad,India,14-05-2026
P135,Krishna Joshi,Wicketkeeper,Delhi Capitals,Sri Lanka,15-05-2026
P136,Manav Verma,Batsman,Punjab Kings,India,16-05-2026
P137,Karan Singh,Bowler,Rajasthan Royals,India,17-05-2026
P138,Neel Kulkarni,All-rounder,Gujarat Titans,West Indies,18-05-2026
P139,Harsh Menon,Wicketkeeper,Lucknow Super Giants,India,19-05-2026
P140,Akash Pillai,Batsman,Mumbai Indians,India,20-05-2026
P141,Dev Shetty,Bowler,Chennai Super Kings,Afghanistan,21-05-2026
P142,Pranav Bose,All-rounder,Royal Challengers Bengaluru,India,22-05-2026
P143,Vihaan Deshmukh,Wicketkeeper,Kolkata Knight Riders,India,23-05-2026
P144,Aryan Rao,Batsman,Sunrisers Hyderabad,India,24-05-2026
P145,Rohan Gill,Bowler,Delhi Capitals,India,25-05-2026
P146,Yash Kumar,All-rounder,Punjab Kings,India,26-05-2026
P147,Ishaan Naidu,Wicketkeeper,Rajasthan Royals,Australia,27-05-2026
P148,Rahul Malhotra,Batsman,Gujarat Titans,India,28-05-2026
P149,Nikhil Bhosale,Bowler,Lucknow Super Giants,India,29-05-2026
P150,Siddharth Iyer,All-rounder,Mumbai Indians,England,30-05-2026
P151,Aarav Sharma,Wicketkeeper,Chennai Super Kings,India,31-05-2026
P152,Vivaan Patel,Batsman,Royal Challengers Bengaluru,India,01-06-2026
P153,Arjun Reddy,Bowler,Kolkata Knight Riders,New Zealand,02-06-2026
P154,Aditya Nair,All-rounder,Sunrisers Hyderabad,India,03-06-2026
P155,Krishna Joshi,Wicketkeeper,Delhi Capitals,India,04-06-2026
P156,Manav Verma,Batsman,Punjab Kings,South Africa,05-06-2026
P157,Karan Singh,Bowler,Rajasthan Royals,India,06-06-2026
P158,Neel Kulkarni,All-rounder,Gujarat Titans,India,07-06-2026
P159,Harsh Menon,Wicketkeeper,Lucknow Super Giants,Sri Lanka,08-06-2026
P160,Akash Pillai,Batsman,Mumbai Indians,India,09-06-2026
P161,Dev Shetty,Bowler,Chennai Super Kings,India,10-06-2026
P162,Pranav Bose,All-rounder,Royal Challengers Bengaluru,West Indies,11-06-2026
P163,Vihaan Deshmukh,Wicketkeeper,Kolkata Knight Riders,India,12-06-2026
P164,Aryan Rao,Batsman,Sunrisers Hyderabad,India,13-06-2026
P165,Rohan Gill,Bowler,Delhi Capitals,Afghanistan,14-06-2026
P166,Yash Kumar,All-rounder,Punjab Kings,India,15-06-2026
P167,Ishaan Naidu,Wicketkeeper,Rajasthan Royals,India,16-06-2026
P168,Rahul Malhotra,Batsman,Gujarat Titans,India,17-06-2026
P169,Nikhil Bhosale,Bowler,Lucknow Super Giants,India,18-06-2026
P170,Siddharth Iyer,All-rounder,Mumbai Indians,India,19-06-2026
P171,Aarav Sharma,Wicketkeeper,Chennai Super Kings,Australia,20-06-2026
P172,Vivaan Patel,Batsman,Royal Challengers Bengaluru,India,21-06-2026
P173,Arjun Reddy,Bowler,Kolkata Knight Riders,India,22-06-2026
P174,Aditya Nair,All-rounder,Sunrisers Hyderabad,England,23-06-2026
P175,Krishna Joshi,Wicketkeeper,Delhi Capitals,India,24-06-2026
P176,Manav Verma,Batsman,Punjab Kings,India,25-06-2026
P177,Karan Singh,Bowler,Rajasthan Royals,New Zealand,26-06-2026
P178,Neel Kulkarni,All-rounder,Gujarat Titans,India,27-06-2026
P179,Harsh Menon,Wicketkeeper,Lucknow Super Giants,India,28-06-2026
P180,Akash Pillai,Batsman,Mumbai Indians,South Africa,29-06-2026
P181,Dev Shetty,Bowler,Chennai Super Kings,India,30-06-2026
P182,Pranav Bose,All-rounder,Royal Challengers Bengaluru,India,01-07-2026
P183,Vihaan Deshmukh,Wicketkeeper,Kolkata Knight Riders,Sri Lanka,02-07-2026
P184,Aryan Rao,Batsman,Sunrisers Hyderabad,India,03-07-2026
P185,Rohan Gill,Bowler,Delhi Capitals,India,04-07-2026
P186,Yash Kumar,All-rounder,Punjab Kings,West Indies,05-07-2026
P187,Ishaan Naidu,Wicketkeeper,Rajasthan Royals,India,06-07-2026
P188,Rahul Malhotra,Batsman,Gujarat Titans,India,07-07-2026
P189,Nikhil Bhosale,Bowler,Lucknow Super Giants,Afghanistan,08-07-2026
P190,Siddharth Iyer,All-rounder,Mumbai Indians,India,09-07-2026
P191,Aarav Sharma,Wicketkeeper,Chennai Super Kings,India,10-07-2026
P192,Vivaan Patel,Batsman,Royal Challengers Bengaluru,India,11-07-2026
P193,Arjun Reddy,Bowler,Kolkata Knight Riders,India,12-07-2026
P194,Aditya Nair,All-rounder,Sunrisers Hyderabad,India,13-07-2026
P195,Krishna Joshi,Wicketkeeper,Delhi Capitals,Australia,14-07-2026
P196,Manav Verma,Batsman,Punjab Kings,India,15-07-2026
P197,Karan Singh,Bowler,Rajasthan Royals,India,16-07-2026
P198,Neel Kulkarni,All-rounder,Gujarat Titans,England,17-07-2026
P199,Harsh Menon,Wicketkeeper,Lucknow Super Giants,India,18-07-2026
P200,Akash Pillai,Batsman,Mumbai Indians,India,19-07-2026
P201,Dev Shetty,Bowler,Chennai Super Kings,New Zealand,20-07-2026
P202,Pranav Bose,All-rounder,Royal Challengers Bengaluru,India,21-07-2026
P203,Vihaan Deshmukh,Wicketkeeper,Kolkata Knight Riders,India,22-07-2026
P204,Aryan Rao,Batsman,Sunrisers Hyderabad,South Africa,23-07-2026
P205,Rohan Gill,Bowler,Delhi Capitals,India,24-07-2026
P206,Yash Kumar,All-rounder,Punjab Kings,India,25-07-2026
P207,Ishaan Naidu,Wicketkeeper,Rajasthan Royals,Sri Lanka,26-07-2026
P208,Rahul Malhotra,Batsman,Gujarat Titans,India,27-07-2026
P209,Nikhil Bhosale,Bowler,Lucknow Super Giants,India,28-07-2026
P210,Siddharth Iyer,All-rounder,Mumbai Indians,West Indies,29-07-2026
P211,Aarav Sharma,Wicketkeeper,Chennai Super Kings,India,30-07-2026
P212,Vivaan Patel,Batsman,Royal Challengers Bengaluru,India,31-07-2026
P213,Arjun Reddy,Bowler,Kolkata Knight Riders,Afghanistan,01-08-2026
P214,Aditya Nair,All-rounder,Sunrisers Hyderabad,India,02-08-2026
P215,Krishna Joshi,Wicketkeeper,Delhi Capitals,India,03-08-2026
P216,Manav Verma,Batsman,Punjab Kings,India,04-08-2026
P217,Karan Singh,Bowler,Rajasthan Royals,India,05-08-2026
P218,Neel Kulkarni,All-rounder,Gujarat Titans,India,06-08-2026
P219,Harsh Menon,Wicketkeeper,Lucknow Super Giants,Australia,07-08-2026
P220,Akash Pillai,Batsman,Mumbai Indians,India,08-08-2026
P221,Dev Shetty,Bowler,Chennai Super Kings,India,09-08-2026
P222,Pranav Bose,All-rounder,Royal Challengers Bengaluru,England,10-08-2026
P223,Vihaan Deshmukh,Wicketkeeper,Kolkata Knight Riders,India,11-08-2026
P224,Aryan Rao,Batsman,Sunrisers Hyderabad,India,12-08-2026
P225,Rohan Gill,Bowler,Delhi Capitals,New Zealand,13-08-2026
P226,Yash Kumar,All-rounder,Punjab Kings,India,14-08-2026
P227,Ishaan Naidu,Wicketkeeper,Rajasthan Royals,India,15-08-2026
P228,Rahul Malhotra,Batsman,Gujarat Titans,South Africa,16-08-2026
P229,Nikhil Bhosale,Bowler,Lucknow Super Giants,India,17-08-2026
P230,Siddharth Iyer,All-rounder,Mumbai Indians,India,18-08-2026
P231,Aarav Sharma,Wicketkeeper,Chennai Super Kings,Sri Lanka,19-08-2026
P232,Vivaan Patel,Batsman,Royal Challengers Bengaluru,India,20-08-2026
P233,Arjun Reddy,Bowler,Kolkata Knight Riders,India,21-08-2026
P234,Aditya Nair,All-rounder,Sunrisers Hyderabad,West Indies,22-08-2026
P235,Krishna Joshi,Wicketkeeper,Delhi Capitals,India,23-08-2026
P236,Manav Verma,Batsman,Punjab Kings,India,24-08-2026
P237,Karan Singh,Bowler,Rajasthan Royals,Afghanistan,25-08-2026
P238,Neel Kulkarni,All-rounder,Gujarat Titans,India,26-08-2026
P239,Harsh Menon,Wicketkeeper,Lucknow Super Giants,India,27-08-2026
P240,Akash Pillai,Batsman,Mumbai Indians,India,28-08-2026
P241,Dev Shetty,Bowler,Chennai Super Kings,India,29-08-2026
P242,Pranav Bose,All-rounder,Royal Challengers Bengaluru,India,30-08-2026
P243,Vihaan Deshmukh,Wicketkeeper,Kolkata Knight Riders,Australia,31-08-2026
P244,Aryan Rao,Batsman,Sunrisers Hyderabad,India,01-09-2026
P245,Rohan Gill,Bowler,Delhi Capitals,India,02-09-2026
P246,Yash Kumar,All-rounder,Punjab Kings,England,03-09-2026
P247,Ishaan Naidu,Wicketkeeper,Rajasthan Royals,India,04-09-2026
P248,Rahul Malhotra,Batsman,Gujarat Titans,India,05-09-2026
P249,Nikhil Bhosale,Bowler,Lucknow Super Giants,New Zealand,06-09-2026
P250,Siddharth Iyer,All-rounder,Mumbai Indians,India,07-09-2026
