match_id,innings,over,ball,batsman,bowler,runs_off_bat,extras,is_wicket
M215,1,11,5,Nitish Kumar Reddy,Harpreet Brar,1,0,0
M172,1,15,6,Sam Curran,Varun Chakravarthy,1,0,0
M060,2,18,2,Rahmanullah Gurbaz,Mitchell Marsh,0,0,1
M238,2,19,4,Suryakumar Yadav,Mark Wood,1,1,0
M050,1,16,2,T Natarajan,Shahbaz Ahmed,1,0,0
M223,2,10,4,Varun Chakravarthy,Jason Holder,2,0,0
M077,1,1,6,Sam Curran,Matheesha Pathirana,1,0,0
M050,2,17,5,Deepak Chahar,Glenn Phillips,4,0,0
M109,1,7,5,Rashid Khan,R Ashwin,1,1,0
M046,2,15,1,Pat Cummins,Yash Dayal,4,0,0
M013,1,12,6,Riyan Parag,Mayank Yadav,1,0,0
M206,1,18,5,Kagiso Rabada,Tim David,1,1,0
M056,1,3,1,Mohammed Shami,Adam Zampa,1,1,0
M244,2,17,3,Yuzvendra Chahal,Rajat Patidar,4,0,0
M207,1,19,3,Deepak Chahar,R Sai Kishore,0,1,0
M209,2,11,1,Travis Head,Ben Stokes,0,0,0
M008,2,3,1,Mohsin Khan,Ben Stokes,0,0,0
M077,1,6,5,Rachin Ravindra,Chris Jordan,0,0,0
M023,2,6,5,Mohammed Shami,Kuldeep Yadav,1,1,0
M192,2,15,6,David Miller,Jason Holder,4,0,0
M027,2,16,1,Ravindra Jadeja,Pat Cummins,1,0,0
M235,2,8,1,Matheesha Pathirana,Ravindra Jadeja,2,0,0
M082,2,10,5,Suryakumar Yadav,Axar Patel,0,1,0
M057,1,5,6,Ben Stokes,Harpreet Brar,6,1,0
M207,2,15,3,Suryakumar Yadav,Rajat Patidar,6,0,0
M199,2,19,5,Daryl Mitchell,Harpreet Brar,2,0,0
M207,1,8,1,Noor Ahmad,Will Jacks,2,1,0
M104,1,6,5,Ben Stokes,Mohammed Shami,4,0,0
M053,2,5,3,Shubman Gill,Quinton de Kock,1,0,0
M245,1,14,4,Washington Sundar,Marco Jansen,1,1,0
M054,2,19,6,Glenn Maxwell,Noor Ahmad,0,0,0
M043,1,16,3,Shivam Dube,Ramandeep Singh,3,0,0
M166,1,3,3,Yuzvendra Chahal,Lockie Ferguson,1,0,0
M072,2,19,3,Trent Boult,Mark Wood,4,0,0
M211,1,6,5,Shivam Dube,Rashid Khan,0,0,0
M193,1,2,1,Kuldeep Yadav,Josh Hazlewood,0,0,0
M020,2,2,1,Avesh Khan,Jason Holder,0,0,0
M124,2,3,4,Rachin Ravindra,Daryl Mitchell,2,0,0
M110,1,3,4,Sanju Samson,Axar Patel,1,0,0
M127,2,4,2,Mukesh Kumar,Gerald Coetzee,1,0,0
M138,1,15,3,T Natarajan,Matheesha Pathirana,1,1,0
M201,1,14,3,Mohammed Siraj,Devdutt Padikkal,1,0,0
M092,1,10,2,Marco Jansen,David Miller,3,1,0
M194,2,11,1,Sanju Samson,Harpreet Brar,0,0,0
M044,1,8,3,Arshdeep Singh,Aiden Markram,0,0,0
M160,1,7,6,Marco Jansen,Josh Hazlewood,1,0,0
M138,1,11,5,Ishan Kishan,Devdutt Padikkal,1,0,1
M166,1,2,6,Sanju Samson,Tushar Deshpande,0,0,0
M188,2,9,6,Virat Kohli,R Sai Kishore,3,0,0
M163,1,17,1,Mohammed Shami,Kagiso Rabada,4,0,0
M021,2,14,5,Phil Salt,Mitchell Starc,0,0,0
M185,1,16,5,Devdutt Padikkal,Harshal Patel,4,0,0
M114,2,12,2,Shreyas Iyer,Ramandeep Singh,1,0,0
M181,2,19,5,Varun Chakravarthy,Ramandeep Singh,3,0,0
M226,2,1,5,Faf du Plessis,Naveen ul Haq,1,1,0
M184,1,9,2,Axar Patel,Shimron Hetmyer,1,0,0
M094,2,9,3,Deepak Chahar,Jasprit Bumrah,0,0,0
M027,1,4,4,Sam Curran,R Ashwin,1,0,1
M061,2,1,6,Gerald Coetzee,Josh Hazlewood,4,0,0
M243,2,10,2,Ishan Kishan,Ashutosh Sharma,0,0,0
M204,2,4,4,Harshal Patel,Reece Topley,0,0,0
M155,2,2,4,Rinku Singh,Quinton de Kock,0,0,0
M043,2,9,3,T Natarajan,Axar Patel,0,0,0
M216,1,15,3,T Natarajan,Nehal Wadhera,0,0,0
M125,2,20,1,Nicholas Pooran,Kane Williamson,1,0,0
M012,1,15,5,Rashid Khan,Kane Williamson,0,0,0
M005,2,12,5,R Ashwin,Arshdeep Singh,4,0,0
M145,1,14,4,Tim David,Jake Fraser-McGurk,0,0,0
M096,2,9,1,Arshdeep Singh,Kyle Mayers,4,0,0
M226,2,6,6,Rachin Ravindra,Devdutt Padikkal,2,0,0
M082,1,20,3,Sai Sudharsan,R Ashwin,1,0,0
M180,2,9,5,Mitchell Starc,Harshal Patel,1,0,0
M009,2,12,1,Tilak Varma,Mark Wood,1,0,0
M115,2,13,6,Kagiso Rabada,Mohammed Shami,1,0,0
M153,2,12,1,Noor Ahmad,Noor Ahmad,4,0,0
M218,2,1,3,Yashasvi Jaiswal,Jasprit Bumrah,1,0,0
M197,1,19,1,Rachin Ravindra,Chris Jordan,1,0,0
M191,2,16,6,Matheesha Pathirana,Rashid Khan,1,1,0
M117,2,9,4,Rinku Singh,Lockie Ferguson,1,2,0
M211,1,2,6,Suryakumar Yadav,Rashid Khan,1,2,1
M222,2,10,3,Marco Jansen,Josh Hazlewood,0,0,0
M241,2,13,5,Bhuvneshwar Kumar,Ramandeep Singh,2,0,1
M010,2,19,4,Jasprit Bumrah,Kagiso Rabada,2,0,0
M172,1,17,5,Noor Ahmad,Jasprit Bumrah,0,0,0
M033,2,9,4,Glenn Maxwell,Lockie Ferguson,1,0,0
M074,2,3,6,Pat Cummins,David Miller,6,0,0
M134,1,5,6,Nicholas Pooran,Kyle Mayers,1,0,0
M222,2,11,4,Liam Livingstone,Trent Boult,0,0,0
M046,1,11,2,Kuldeep Yadav,Rashid Khan,3,0,0
M183,2,19,5,KL Rahul,Shimron Hetmyer,3,0,0
M076,1,15,5,Shreyas Iyer,Ryan Rickelton,0,0,0
M200,2,15,2,Faf du Plessis,Rahmanullah Gurbaz,4,0,0
M076,1,9,3,Kuldeep Yadav,Abdul Samad,0,0,0
M142,1,2,5,Lockie Ferguson,Ryan Rickelton,0,0,0
M103,2,15,1,Pat Cummins,Harshal Patel,3,1,0
M057,1,12,1,Rashid Khan,Mayank Yadav,1,0,0
M247,1,14,3,Ishan Kishan,R Sai Kishore,1,0,0
M153,1,9,3,Noor Ahmad,Quinton de Kock,3,0,0
M195,2,10,3,Yashasvi Jaiswal,Nehal Wadhera,2,0,0
M248,2,18,5,Liam Livingstone,Axar Patel,2,0,1
M245,1,10,5,Sanju Samson,Kagiso Rabada,1,0,0
M205,1,3,3,Yuzvendra Chahal,Rajat Patidar,1,0,0
M199,1,20,5,Avesh Khan,Mohammed Shami,1,0,1
M120,2,13,2,Shreyas Iyer,Mark Wood,1,0,1
M226,1,7,3,Sai Sudharsan,Lockie Ferguson,1,0,0
M152,2,3,5,Naveen ul Haq,Arshdeep Singh,1,0,0
M032,1,13,2,Ravindra Jadeja,David Miller,4,0,0
M015,2,2,5,Mitchell Starc,Krunal Pandya,1,0,0
M042,1,6,5,Ruturaj Gaikwad,Matheesha Pathirana,1,0,0
M228,1,2,5,Ishan Kishan,Jasprit Bumrah,0,0,0
M242,2,16,3,Mohammed Shami,Mitchell Marsh,2,0,0
M052,1,20,1,R Ashwin,Arshdeep Singh,1,0,0
M240,2,3,1,Liam Livingstone,Chris Jordan,0,1,0
M009,1,4,3,Axar Patel,R Sai Kishore,3,0,0
M234,2,2,6,Ravindra Jadeja,Gerald Coetzee,1,0,0
M238,1,9,4,Mukesh Kumar,Jason Holder,1,0,0
M109,2,6,5,Mohsin Khan,Matheesha Pathirana,1,0,0
M086,2,9,1,Trent Boult,Rahmanullah Gurbaz,2,0,0
M088,2,15,2,Bhuvneshwar Kumar,Kuldeep Yadav,1,0,0
M074,2,1,5,Washington Sundar,R Sai Kishore,0,0,0
M187,1,18,5,Prasidh Krishna,Aiden Markram,4,0,0
M194,1,1,6,Nicholas Pooran,Tim David,3,0,0
M192,1,16,1,Virat Kohli,Rajat Patidar,2,0,0
M014,2,8,5,Marco Jansen,Quinton de Kock,0,0,0
M195,2,13,3,Deepak Chahar,Chris Jordan,2,0,1
M106,2,19,4,Nicholas Pooran,Adam Zampa,1,0,0
M238,1,12,2,Marcus Stoinis,Ryan Rickelton,6,0,0
M248,2,10,3,Yuzvendra Chahal,Nehal Wadhera,0,1,0
M122,1,10,4,R Ashwin,Yuzvendra Chahal,4,0,0
M078,1,20,5,Heinrich Klaasen,Kuldeep Yadav,4,0,1
M136,1,20,4,Rahul Tripathi,Quinton de Kock,3,0,0
M006,1,11,1,Lockie Ferguson,Yash Dayal,6,0,0
M232,2,15,6,Quinton de Kock,Tushar Deshpande,0,0,0
M071,1,18,5,Dhruv Jurel,Abdul Samad,0,0,0
M191,2,4,2,Riyan Parag,Kagiso Rabada,1,1,0
M205,1,4,6,Sanju Samson,Ben Stokes,0,0,0
M027,1,16,3,Liam Livingstone,Ryan Rickelton,3,1,0
M008,2,3,3,Matheesha Pathirana,Yash Dayal,1,0,0
M151,1,18,3,Suryakumar Yadav,R Sai Kishore,0,0,0
M066,1,6,2,Mohammed Siraj,Mohammed Siraj,0,0,0
M011,1,10,2,Matheesha Pathirana,Noor Ahmad,0,0,0
M187,2,13,1,Jasprit Bumrah,Tushar Deshpande,1,0,0
M201,2,13,3,R Ashwin,Gerald Coetzee,1,0,0
M080,1,20,3,Lockie Ferguson,Liam Livingstone,2,1,0
M126,1,15,4,Ryan Rickelton,Rachin Ravindra,1,0,0
M216,1,19,2,T Natarajan,Venkatesh Iyer,0,1,0
M016,1,14,3,Dhruv Jurel,Ramandeep Singh,2,1,0
M079,2,5,1,Shubman Gill,Adam Zampa,1,0,0
M067,2,13,2,Shubman Gill,Krunal Pandya,4,0,0
M094,2,19,1,Naveen ul Haq,Rashid Khan,1,1,0
M184,2,11,4,Rachin Ravindra,Pat Cummins,0,0,0
M058,2,8,6,Travis Head,Marco Jansen,0,0,0
M214,1,16,5,Ben Stokes,Mohsin Khan,0,0,0
M140,2,15,6,Nicholas Pooran,Tim David,4,0,0
M116,2,7,5,Ben Stokes,Varun Chakravarthy,2,0,0
M159,1,5,3,Marco Jansen,Naveen ul Haq,0,1,0
M138,1,1,1,Liam Livingstone,Shimron Hetmyer,0,2,1
M117,2,5,3,T Natarajan,Rachin Ravindra,0,0,0
M240,2,8,1,Bhuvneshwar Kumar,Rachin Ravindra,1,0,0
M193,1,7,4,Mukesh Kumar,Mitchell Marsh,1,0,0
M019,1,16,2,Yuzvendra Chahal,Krunal Pandya,4,0,0
M100,2,16,1,Mohammed Siraj,Trent Boult,6,1,0
M077,2,10,6,KL Rahul,Shahbaz Ahmed,6,0,0
M165,2,20,2,Mohsin Khan,Ayush Badoni,1,0,0
M049,1,5,6,Naveen ul Haq,Mitchell Starc,0,0,0
M196,2,15,2,Deepak Chahar,Josh Hazlewood,1,0,0
M234,1,20,5,Riyan Parag,Tushar Deshpande,2,0,0
M170,1,12,5,Prasidh Krishna,Harshal Patel,2,0,0
M001,1,6,3,Virat Kohli,Aiden Markram,0,0,0
M236,1,8,6,Mohammed Siraj,David Miller,1,0,0
M226,1,18,6,Yashasvi Jaiswal,Shahbaz Ahmed,2,1,0
M025,1,14,5,Mohammed Siraj,Liam Livingstone,4,0,0
M007,2,15,6,Shubman Gill,Jasprit Bumrah,1,0,0
M135,2,11,2,Gerald Coetzee,Ryan Rickelton,0,0,0
M249,1,2,4,Kuldeep Yadav,Will Jacks,0,0,0
M106,1,11,1,Matheesha Pathirana,Kagiso Rabada,1,0,1
M024,1,4,5,Mohammed Shami,Chris Jordan,0,0,0
M235,1,2,1,Naveen ul Haq,Mayank Yadav,1,0,0
M016,2,10,4,Glenn Maxwell,Ravindra Jadeja,4,0,0
M024,1,8,3,Mayank Yadav,Shahbaz Ahmed,0,0,0
M097,1,1,5,Yashasvi Jaiswal,R Ashwin,1,0,0
M121,1,16,2,Marco Jansen,Nehal Wadhera,4,0,0
M077,2,3,6,Glenn Maxwell,Yash Dayal,1,0,0
M162,2,9,3,Kuldeep Yadav,Will Jacks,2,0,0
M243,1,5,3,Shreyas Iyer,Rajat Patidar,1,0,0
M217,2,13,1,Rachin Ravindra,Glenn Phillips,1,0,1
M247,2,2,2,Jake Fraser-McGurk,Venkatesh Iyer,1,0,0
M225,1,10,2,Rahul Tripathi,Josh Hazlewood,1,0,0
M173,2,16,1,Quinton de Kock,Kyle Mayers,1,0,0
M003,1,14,1,Axar Patel,Kuldeep Yadav,0,0,0
M162,1,13,1,Shivam Dube,Mayank Yadav,2,0,0
M060,2,6,4,Tilak Varma,Jasprit Bumrah,2,0,0
M003,1,1,4,Gerald Coetzee,Axar Patel,1,0,0
M096,1,3,2,Daryl Mitchell,Kyle Mayers,2,0,0
M217,1,6,1,Tilak Varma,David Miller,1,0,0
M056,2,17,5,T Natarajan,Rajat Patidar,1,1,0
M128,2,1,4,Travis Head,R Ashwin,0,0,0
M226,1,20,1,R Ashwin,Trent Boult,1,0,0
M225,1,5,4,Nicholas Pooran,Wanindu Hasaranga,6,1,0
M130,1,11,2,Quinton de Kock,Abdul Samad,0,0,0
M070,1,7,5,Rinku Singh,Kyle Mayers,2,0,0
M060,1,15,2,T Natarajan,Rachin Ravindra,1,0,0
M180,2,11,5,Harshal Patel,Rashid Khan,4,0,0
M193,1,3,5,Kagiso Rabada,R Sai Kishore,2,1,0
M022,2,3,6,Arshdeep Singh,Arshdeep Singh,1,0,0
M152,1,4,5,Rahul Tripathi,Tim David,1,0,0
M021,2,3,5,Yuzvendra Chahal,Mayank Yadav,1,0,0
M217,1,6,2,Suryakumar Yadav,Jason Holder,1,0,0
M109,1,17,6,Avesh Khan,R Ashwin,1,0,0
M015,1,17,4,Sanju Samson,Rachin Ravindra,1,0,0
M192,2,6,3,KL Rahul,Marco Jansen,4,0,1
M016,1,3,6,Shivam Dube,Liam Livingstone,6,0,0
M204,2,12,5,Ravindra Jadeja,Kane Williamson,2,0,0
M032,2,11,4,Travis Head,Rachin Ravindra,0,0,0
M144,1,5,3,R Ashwin,Tim David,1,0,0
M039,1,10,6,Marcus Stoinis,Devdutt Padikkal,2,0,1
M164,1,15,2,Prasidh Krishna,Mohsin Khan,4,0,0
M047,2,8,4,Naveen ul Haq,Mark Wood,0,0,0
M246,2,7,4,Marcus Stoinis,Quinton de Kock,0,0,0
M249,1,11,4,Faf du Plessis,Nehal Wadhera,1,0,0
M024,1,16,1,Rinku Singh,Ryan Rickelton,1,0,0
M072,1,3,2,T Natarajan,Mark Wood,4,1,0
M052,2,2,6,Jake Fraser-McGurk,Glenn Phillips,2,1,0
M049,2,7,5,Jake Fraser-McGurk,Krunal Pandya,1,0,0
M223,1,9,6,Shivam Dube,Mitchell Marsh,1,0,1
M038,1,1,4,Travis Head,Lockie Ferguson,0,0,0
M197,1,16,5,Avesh Khan,Will Jacks,4,0,0
M151,1,13,1,Axar Patel,Ryan Rickelton,1,0,0
M068,1,7,2,Ruturaj Gaikwad,Kagiso Rabada,1,0,1
M093,1,12,1,Ishan Kishan,Liam Livingstone,1,1,0
M026,2,8,1,Abhishek Sharma,Matheesha Pathirana,1,0,0
M079,2,8,6,Washington Sundar,Kagiso Rabada,1,0,0
M052,1,11,2,Daryl Mitchell,Ravindra Jadeja,0,0,0
M155,2,15,4,Dhruv Jurel,Axar Patel,2,1,0
M157,2,4,5,Travis Head,Kagiso Rabada,2,0,1
M132,1,10,1,Rinku Singh,Aiden Markram,1,0,0
M093,2,13,1,Quinton de Kock,Nehal Wadhera,3,0,0
M102,1,16,1,Kagiso Rabada,Adam Zampa,1,0,0
M057,2,1,3,Heinrich Klaasen,Ramandeep Singh,1,0,0
M193,2,7,4,Matheesha Pathirana,Anrich Nortje,2,0,0
M227,1,17,4,Tilak Varma,Shimron Hetmyer,6,0,1
M223,2,16,4,Kuldeep Yadav,Mohammed Siraj,1,0,0
M215,1,4,4,Shivam Dube,Rashid Khan,1,0,0
M025,2,3,3,Glenn Maxwell,Yuzvendra Chahal,0,0,0
M017,1,14,2,Yuzvendra Chahal,Will Jacks,1,0,0
M176,2,1,3,Kuldeep Yadav,Tim David,0,0,0
M003,2,15,6,Heinrich Klaasen,Shimron Hetmyer,0,0,0
M019,1,6,2,Naveen ul Haq,Marco Jansen,1,0,0
M100,2,3,4,Nitish Kumar Reddy,Khaleel Ahmed,4,0,0
M248,2,16,3,Naveen ul Haq,Matheesha Pathirana,1,0,0
M149,2,18,3,Matheesha Pathirana,Axar Patel,0,0,0
